Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2025,"23,9 €/m2","+ 3,4 %","+ 4,1 %","+ 13,6 %"
Marzo 2025,"23,1 €/m2","- 1,0 %","- 0,7 %","+ 9,6 %"
Febrero 2025,"23,3 €/m2","+ 1,7 %","+ 0,6 %","+ 10,0 %"
Enero 2025,"22,9 €/m2","- 1,4 %","+ 0,7 %","+ 5,2 %"
Diciembre 2024,"23,2 €/m2","+ 0,3 %","+ 4,8 %","+ 10,3 %"
Noviembre 2024,"23,2 €/m2","+ 1,8 %","+ 6,7 %","+ 11,7 %"
Octubre 2024,"22,8 €/m2","+ 2,7 %","+ 4,4 %","+ 8,7 %"
Septiembre 2024,"22,2 €/m2","+ 2,1 %","- 0,8 %","+ 8,2 %"
Agosto 2024,"21,7 €/m2","- 0,5 %","- 0,3 %","+ 8,3 %"
Julio 2024,"21,8 €/m2","- 2,4 %","+ 3,8 %","+ 14,7 %"
Junio 2024,"22,3 €/m2","+ 2,6 %","+ 6,2 %","+ 17,6 %"
Mayo 2024,"21,8 €/m2","+ 3,7 %","+ 2,8 %","+ 14,7 %"
Abril 2024,"21,0 €/m2","- 0,2 %","- 3,6 %","+ 8,7 %"
Marzo 2024,"21,0 €/m2","- 0,7 %","- 0,2 %","+ 9,0 %"
Febrero 2024,"21,2 €/m2","- 2,8 %","+ 2,1 %","+ 10,5 %"
Enero 2024,"21,8 €/m2","+ 3,3 %","+ 4,1 %","+ 16,0 %"
Diciembre 2023,"21,1 €/m2","+ 1,6 %","+ 2,9 %","+ 12,3 %"
Noviembre 2023,"20,7 €/m2","- 0,9 %","+ 3,5 %","+ 13,9 %"
Octubre 2023,"20,9 €/m2","+ 2,2 %","+ 10,1 %","+ 19,6 %"
Septiembre 2023,"20,5 €/m2","+ 2,2 %","+ 7,8 %","+ 22,1 %"
Agosto 2023,"20,0 €/m2","+ 5,4 %","+ 5,6 %","+ 22,0 %"
Julio 2023,"19,0 €/m2","+ 0,1 %","- 1,5 %","+ 13,7 %"
Junio 2023,"19,0 €/m2","+ 0,1 %","- 1,6 %","+ 12,8 %"
Mayo 2023,"19,0 €/m2","- 1,7 %","- 1,0 %","+ 14,4 %"
Abril 2023,"19,3 €/m2","+ 0,1 %","+ 2,8 %","+ 23,8 %"
Marzo 2023,"19,3 €/m2","+ 0,7 %","+ 2,9 %","+ 25,7 %"
Febrero 2023,"19,2 €/m2","+ 2,0 %","+ 5,2 %","+ 25,0 %"
Enero 2023,"18,8 €/m2","+ 0,1 %","+ 7,4 %","+ 23,1 %"
Diciembre 2022,"18,8 €/m2","+ 3,0 %","+ 11,8 %","+ 25,3 %"
Noviembre 2022,"18,2 €/m2","+ 4,1 %","+ 10,9 %","+ 24,4 %"
Octubre 2022,"17,5 €/m2","+ 4,3 %","+ 4,6 %","+ 19,9 %"
Septiembre 2022,"16,8 €/m2","+ 2,2 %","- 0,4 %","+ 16,1 %"
Agosto 2022,"16,4 €/m2","- 1,8 %","- 0,9 %","+ 15,4 %"
Julio 2022,"16,7 €/m2","- 0,8 %","+ 7,2 %","+ 17,4 %"
Junio 2022,"16,9 €/m2","+ 1,6 %","+ 9,8 %","+ 19,5 %"
Mayo 2022,"16,6 €/m2","+ 6,3 %","+ 8,2 %","+ 18,4 %"
Abril 2022,"15,6 €/m2","+ 1,6 %","+ 2,2 %","+ 11,0 %"
Marzo 2022,"15,4 €/m2","+ 0,2 %","+ 2,5 %","+ 9,7 %"
Febrero 2022,"15,3 €/m2","+ 0,4 %","+ 4,7 %","+ 9,6 %"
Enero 2022,"15,3 €/m2","+ 1,9 %","+ 4,6 %","+ 8,9 %"
Diciembre 2021,"15,0 €/m2","+ 2,3 %","+ 3,7 %","+ 5,2 %"
Noviembre 2021,"14,6 €/m2","+ 0,3 %","+ 2,9 %","+ 0,6 %"
Octubre 2021,"14,6 €/m2","+ 1,0 %","+ 2,5 %","- 2,2 %"
Septiembre 2021,"14,5 €/m2","+ 1,6 %","+ 2,4 %","- 4,3 %"
Agosto 2021,"14,2 €/m2","- 0,1 %","+ 1,6 %","- 7,9 %"
Julio 2021,"14,2 €/m2","+ 1,0 %","+ 1,3 %","- 9,3 %"
Junio 2021,"14,1 €/m2","+ 0,7 %","+ 0,8 %","- 13,1 %"
Mayo 2021,"14,0 €/m2","- 0,4 %","+ 0,1 %","- 15,9 %"
Abril 2021,"14,1 €/m2","+ 0,4 %","+ 0,3 %","- 14,8 %"
Marzo 2021,"14,0 €/m2","+ 0,1 %","- 1,8 %","- 12,5 %"
Febrero 2021,"14,0 €/m2","- 0,2 %","- 3,9 %","- 11,4 %"
Enero 2021,"14,0 €/m2","- 1,6 %","- 6,1 %","- 8,9 %"
Diciembre 2020,"14,2 €/m2","- 2,1 %","- 5,6 %","- 8,4 %"
Noviembre 2020,"14,5 €/m2","- 2,6 %","- 5,8 %","- 8,4 %"
Octubre 2020,"14,9 €/m2","- 1,1 %","- 5,0 %","- 8,4 %"
Septiembre 2020,"15,1 €/m2","- 2,3 %","- 7,0 %","- 7,1 %"
Agosto 2020,"15,5 €/m2","- 1,7 %","- 7,2 %","- 3,5 %"
Julio 2020,"15,7 €/m2","- 3,1 %","- 4,7 %","- 3,5 %"
Junio 2020,"16,2 €/m2","- 2,6 %","+ 1,5 %","- 2,8 %"
Mayo 2020,"16,7 €/m2","+ 1,0 %","+ 5,5 %","+ 0,5 %"
Abril 2020,"16,5 €/m2","+ 3,1 %","+ 7,2 %","+ 0,1 %"
