Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Mayo 2019,"15,0 €/m2","0,0 %","- 0,1 %","+ 1,5 %"
Abril 2019,"15,0 €/m2","0,0 %","+ 0,1 %","+ 0,3 %"
Marzo 2019,"15,0 €/m2","0,0 %","- 0,2 %","+ 0,3 %"
Febrero 2019,"15,0 €/m2","+ 0,1 %","- 0,5 %","+ 0,3 %"
Enero 2019,"15,0 €/m2","- 0,3 %","- 2,1 %","- 0,2 %"
Diciembre 2018,"15,0 €/m2","- 0,3 %","+ 0,4 %","- 2,2 %"
Noviembre 2018,"15,1 €/m2","- 1,5 %","+ 2,3 %","- 0,9 %"
Octubre 2018,"15,3 €/m2","+ 2,2 %","+ 3,1 %","+ 1,1 %"
Septiembre 2018,"15,0 €/m2","+ 1,6 %","- 0,4 %","+ 2,5 %"
Agosto 2018,"14,8 €/m2","- 0,7 %","- 0,3 %","+ 3,4 %"
Julio 2018,"14,9 €/m2","- 1,3 %","- 0,8 %","+ 5,0 %"
Junio 2018,"15,1 €/m2","+ 1,7 %","+ 0,5 %","+ 5,0 %"
Mayo 2018,"14,8 €/m2","- 1,2 %","- 1,2 %","+ 4,3 %"
Abril 2018,"15,0 €/m2","0,0 %","- 0,3 %","+ 5,4 %"
Marzo 2018,"15,0 €/m2","- 0,1 %","- 2,7 %","+ 5,7 %"
Febrero 2018,"15,0 €/m2","- 0,3 %","- 1,6 %","+ 4,4 %"
Enero 2018,"15,0 €/m2","- 2,3 %","- 0,8 %","+ 5,8 %"
Diciembre 2017,"15,4 €/m2","+ 1,0 %","+ 5,2 %","+ 11,2 %"
Noviembre 2017,"15,2 €/m2","+ 0,6 %","+ 6,8 %","+ 13,7 %"
Octubre 2017,"15,2 €/m2","+ 3,6 %","+ 7,1 %","+ 15,5 %"
Septiembre 2017,"14,6 €/m2","+ 2,5 %","+ 2,0 %","+ 17,0 %"
Agosto 2017,"14,3 €/m2","+ 0,9 %","+ 0,6 %","+ 18,6 %"
Julio 2017,"14,2 €/m2","- 1,3 %","- 0,4 %","+ 16,4 %"
Junio 2017,"14,3 €/m2","+ 1,1 %","+ 1,2 %","+ 17,4 %"
Mayo 2017,"14,2 €/m2","- 0,2 %","- 1,1 %","+ 19,7 %"
Abril 2017,"14,2 €/m2","+ 0,3 %","0,0 %","+ 19,5 %"
Marzo 2017,"14,2 €/m2","- 1,3 %","+ 2,3 %","+ 20,2 %"
Febrero 2017,"14,4 €/m2","+ 0,9 %","+ 7,1 %","+ 22,8 %"
Enero 2017,"14,2 €/m2","+ 2,7 %","+ 8,3 %","+ 23,3 %"
Diciembre 2016,"13,9 €/m2","+ 3,3 %","+ 10,7 %","+ 21,8 %"
Noviembre 2016,"13,4 €/m2","+ 2,1 %","+ 11,3 %","+ 19,0 %"
Octubre 2016,"13,1 €/m2","+ 4,9 %","+ 7,9 %","+ 19,9 %"
Septiembre 2016,"12,5 €/m2","+ 3,9 %","+ 2,4 %","+ 15,3 %"
Agosto 2016,"12,0 €/m2","- 1,0 %","+ 1,5 %","+ 10,4 %"
Julio 2016,"12,2 €/m2","- 0,5 %","+ 2,2 %","+ 13,7 %"
Junio 2016,"12,2 €/m2","+ 3,1 %","+ 3,7 %","+ 14,3 %"
Mayo 2016,"11,9 €/m2","- 0,3 %","+ 1,4 %","+ 10,3 %"
Abril 2016,"11,9 €/m2","+ 0,9 %","+ 3,1 %","+ 9,5 %"
Marzo 2016,"11,8 €/m2","+ 0,8 %","+ 3,7 %","+ 8,6 %"
Febrero 2016,"11,7 €/m2","+ 1,4 %","+ 3,8 %","+ 7,0 %"
Enero 2016,"11,5 €/m2","+ 1,4 %","+ 5,3 %","+ 6,8 %"
Diciembre 2015,"11,4 €/m2","+ 1,0 %","+ 4,8 %","+ 7,8 %"
Noviembre 2015,"11,3 €/m2","+ 2,8 %","+ 3,2 %","+ 7,5 %"
Octubre 2015,"11,0 €/m2","+ 0,9 %","+ 2,4 %","+ 5,4 %"
Septiembre 2015,"10,8 €/m2","- 0,5 %","+ 1,5 %","+ 8,1 %"
Agosto 2015,"10,9 €/m2","+ 2,0 %","+ 1,4 %","+ 8,8 %"
Julio 2015,"10,7 €/m2","0,0 %","- 1,6 %","+ 6,7 %"
Junio 2015,"10,7 €/m2","- 0,6 %","- 1,5 %","+ 6,7 %"
Mayo 2015,"10,8 €/m2","- 1,1 %","- 1,6 %","+ 7,5 %"
Abril 2015,"10,9 €/m2","+ 0,1 %","+ 0,7 %","+ 8,5 %"
Marzo 2015,"10,9 €/m2","- 0,7 %","+ 2,9 %","+ 8,5 %"
Febrero 2015,"10,9 €/m2","+ 1,2 %","+ 4,4 %","+ 9,2 %"
Enero 2015,"10,8 €/m2","+ 2,4 %","+ 3,9 %","+ 7,9 %"
Diciembre 2014,"10,5 €/m2","+ 0,7 %","+ 5,1 %","+ 5,5 %"
Noviembre 2014,"10,5 €/m2","+ 0,8 %","+ 4,5 %","+ 4,7 %"
Octubre 2014,"10,4 €/m2","+ 3,6 %","+ 3,7 %","+ 3,9 %"
Septiembre 2014,"10,0 €/m2","+ 0,1 %","+ 0,1 %","+ 0,3 %"
Agosto 2014,"10,0 €/m2","0,0 %","+ 0,2 %","+ 0,3 %"
Julio 2014,"10,0 €/m2","0,0 %","+ 0,1 %","+ 0,3 %"
Junio 2014,"10,0 €/m2","+ 0,2 %","+ 0,1 %","+ 0,3 %"
Mayo 2014,"10,0 €/m2","- 0,1 %","- 0,1 %","0,0 %"
Abril 2014,"10,0 €/m2","0,0 %","+ 0,1 %","+ 0,1 %"
Marzo 2014,"10,0 €/m2","0,0 %","+ 0,1 %","0,0 %"
Febrero 2014,"10,0 €/m2","+ 0,1 %","+ 0,1 %","0,0 %"
Enero 2014,"10,0 €/m2","0,0 %","0,0 %","- 2,5 %"
Diciembre 2013,"10,0 €/m2","0,0 %","0,0 %","- 4,0 %"
Noviembre 2013,"10,0 €/m2","0,0 %","+ 0,1 %","- 4,7 %"
Octubre 2013,"10,0 €/m2","0,0 %","+ 0,1 %","- 5,5 %"
Septiembre 2013,"10,0 €/m2","+ 0,1 %","+ 0,1 %","- 5,9 %"
Agosto 2013,"10,0 €/m2","0,0 %","0,0 %","- 6,3 %"
Julio 2013,"10,0 €/m2","0,0 %","- 0,1 %","- 7,2 %"
Junio 2013,"10,0 €/m2","0,0 %","- 0,1 %","- 6,4 %"
Mayo 2013,"10,0 €/m2","- 0,1 %","- 0,1 %","- 6,8 %"
